"Timestamp","What is your role?","Do you study or teach online?","If yes, What device do you mostly use for online learning?","How would you rate internet connection in your area?","How often do you face network problems during online learning?","What type of internet do you mostly use?","How affordable is internet data for you?","Have you used any e-learning platform before?","If Yes, which platforms have you used before?","What problems do you face when using e-learning apps?","What frustrates you the most during online learning?","Which format do you prefer for learning?","When your internet becomes poor, what do you prefer?","Would you like content that adjusts automatically based on your internet?","Which features would you like in an e-learning app?","How important is offline access to you?","Should the app save your progress automatically?","What matters most to you when learning online?","Have you ever stopped learning because of poor internet?","What would make an e-learning app better for you?"
"2026/04/18 11:03:34 PM GMT+1","Student","Yes","Both","3","Sometimes","Mobile data","Manageable","Yes","Preply","Most at times it's basically connectivity issues there and there","Insanely large course material downloads, in this case course material are not made modularly for downloads but as a full video download at the end of all module completion ","A mix of all","Lower quality video","Yes","Download content for offline use;Live classes;Recorded videos;Quizzes/tests;Chat with teacher;Notifications","5","Yes","Low data usage","No","Easy downloads, good course material and little or no buffering "
"2026/04/19 12:47:56 AM GMT+1","Student","Yes","Smartphone","2","Always","Mobile data","Manageable","Yes","YouTube ","High consumption of data ","No Internet connection ","A mix of all","Lower quality video;Text notes","Yes","Download content for offline use;Recorded videos;Quizzes/tests;Notifications","4","Yes","Easy to use","Yes","If I'm able to access the platform even with little data "
"2026/04/19 8:28:00 AM GMT+1","Student","Yes","Smartphone","2","Sometimes","Mobile data","Expensive","Yes","Youtube","Network ","Slow connection ","A mix of all","Text notes","Yes","Live classes;Recorded videos;Quizzes/tests;Chat with teacher","5","Yes","Easy to use","Yes","Direct contact with teachers"
"2026/04/19 9:41:00 AM GMT+1","Student","Yes","Laptop","2","Always","Mobile data","Manageable","Yes","Google meet ","Network connectivity ","Noise in the background, sometimes not able to listen to the teacher ","Video","Lower quality video","Yes","Download content for offline use;Live classes;Recorded videos;Chat with teacher","5","Yes","Good video quality","Yes","App able to adapt to network connectivity "
"2026/04/19 9:53:04 AM GMT+1","Student","Yes","Both","3","Sometimes","WiFi","Manageable","Yes","Youtube","Slow app response, insufficient study material","Poor network ","A mix of all","Lower quality video;Text notes","Yes","Download content for offline use;Live classes;Recorded videos","5","Yes","Smooth playback (no buffering)","Yes","I would really enjoy it if the app was faster in responding, and could adapt to the network "
"2026/04/19 10:35:12 AM GMT+1","Student","Yes","Both","1","Always","Mobile data","Expensive","Yes","www3schools","Slow connection","Time it takes for a page to load","Video","Text notes","Yes","Live classes","5","Yes","Smooth playback (no buffering)","Yes","Improve my research aspect"
"2026/04/19 10:40:29 AM GMT+1","Student","Yes","Both","2","Always","Mobile data","Expensive","Yes","W3dschool","Network","Very slaw","Video;Audio;Text;A mix of all","Audio only;Text notes","Maybe","Download content for offline use;Live classes;Recorded videos;Quizzes/tests;Chat with teacher;Notifications","3","Yes","Good video quality","Yes","Improvement in network📡"
"2026/04/19 10:47:51 AM GMT+1","Student","Yes","Laptop","1","Always","Mobile data","Expensive","No","None","None","None","Video;Text","Text notes","Maybe","Download content for offline use;Quizzes/tests;Chat with teacher","5","Yes","Good video quality","No","If there are real time update on course content"
"2026/04/19 11:02:34 AM GMT+1","Student","Yes","Smartphone","3","Sometimes","Mobile data","Manageable","Yes","Chatgpt","Not good answer and poor Network connection","Poor Network","A mix of all","Text notes","Yes","Download content for offline use;Quizzes/tests","3","Yes","Low data usage","Yes","Provide good answer"
"2026/04/19 11:36:01 AM GMT+1","Student","No","Smartphone","3","Sometimes","Mobile data","Expensive","Yes","Zoom","slow network ","Poor network ","A mix of all","Audio only","Yes","Download content for offline use","4","Yes","Low data usage","Yes","Easy to use "
"2026/04/19 12:38:18 PM GMT+1","Student","No","Laptop","3","Sometimes","Mobile data","Expensive","Yes","YouTube, Udemy","slow internet","slow internet","Video;Text","Lower quality video","Yes","Download content for offline use;Chat with teacher","4","Yes","Low data usage","Yes","*"
"2026/04/19 12:52:51 PM GMT+1","Student","Yes","Both","3","Sometimes","WiFi","Expensive","Yes","Google classroom","Being logged out of my account sometimes ","Occasionally poor internet connection ","A mix of all","Lower quality video","Yes","Download content for offline use;Live classes;Recorded videos;Quizzes/tests;Chat with teacher;Notifications","4","Yes","Smooth playback (no buffering)","Yes","Quizzes/test being offered to gauge how much you’ve studied "
"2026/04/19 2:09:35 PM GMT+1","Student","Yes","Smartphone","3","Sometimes","Mobile data","Expensive","Yes","Google classroom ","Network issues ","Network ","A mix of all","Text notes","Maybe","Download content for offline use;Live classes;Recorded videos;Quizzes/tests;Chat with teacher;Notifications","5","Yes","Good video quality","Yes","Easy access of resources "
"2026/04/19 4:29:45 PM GMT+1","Student","Yes","Both","2","Always","Mobile data","Manageable","Yes","YouTube, udemy","Poor and unstable internet connection ","Poor network ","A mix of all","Text notes","Yes","Download content for offline use;Recorded videos;Quizzes/tests;Chat with teacher;Notifications","5","Yes","Good video quality","Yes","Better internet connection "
"2026/04/19 5:36:38 PM GMT+1","Student","Yes","Smartphone","2","Always","Mobile data","Expensive","Yes","YouTube ","Poor Internet connection ","Lack of interaction ","Video","Lower quality video;Audio only","Yes","Download content for offline use;Live classes;Quizzes/tests;Chat with teacher","5","Yes","Good video quality","Yes","Easy to use and understand, cheap "
"2026/04/19 7:00:24 PM GMT+1","Student","Yes","Smartphone","2","Always","Mobile data","Manageable","Yes","Google classroom","Internet connection and the inability to use them online","Internet ","Video;Audio;A mix of all","Lower quality video","Yes","Download content for offline use;Quizzes/tests","3","Yes","Good video quality","Yes","..."
"2026/04/19 8:16:42 PM GMT+1","Teacher","Yes","Smartphone","2","Sometimes","Mobile data","Expensive","No","No","Slowly ","Débit is very low","Audio;Text","Audio only;Text notes","Maybe","Download content for offline use;Live classes;Chat with teacher","2","No","Low data usage","Yes","Nope "
"2026/04/19 8:51:35 PM GMT+1","Student","Yes","Smartphone","2","Sometimes","Mobile data","Manageable","Yes","Google meet","Network issues ","Network ","Video","Text notes","Yes","Download content for offline use;Recorded videos","4","Yes","Good video quality","Yes","Nothing "
"2026/04/19 9:11:19 PM GMT+1","Student","Yes","Smartphone","2","Always","Mobile data","Manageable","Yes","Zoom","Connection problems ","Network ","Video;Text;A mix of all","Text notes","Yes","Download content for offline use;Live classes;Quizzes/tests;Chat with teacher","3","Yes","Easy to use","Yes","With a good Internet connection "
"2026/04/19 10:30:22 PM GMT+1","Student","No","Both","3","Always","WiFi","Manageable","Yes","W3school","Poor Internet connection ","Poor Internet ","Video;Audio;Text;A mix of all","Text notes","Yes","Download content for offline use;Live classes;Recorded videos;Quizzes/tests;Chat with teacher;Notifications","4","Yes","Good video quality","Yes","Faster response "
"2026/04/20 10:45:20 PM GMT+1","Worker ","No","Smartphone","3","Sometimes","Mobile data","Expensive","Yes","Zoom, Google meet ","Network disconnection ","Data finishing and network breakage ","Video;Audio","Audio only;Text notes","Yes","Download content for offline use;Recorded videos;Quizzes/tests;Chat with teacher","5","Yes","Low data usage","Yes","Low data usage and good image quality "
"2026/04/21 11:16:13 AM GMT+1","Student","Yes","Laptop","1","Always","Mobile data","Expensive","Yes","W3school","Network issue ","Slow connexion ","A mix of all","Text notes","Yes","Download content for offline use","5","Yes","Low data usage","Yes","Better network management and automatically save progression "
"2026/04/21 11:40:22 AM GMT+1","Student","Yes","Both","3","Sometimes","WiFi","Manageable","Yes","Google classroom","Poor connectivity ","Poor connectivity ","A mix of all","Lower quality video;Text notes","Yes","Download content for offline use;Live classes;Recorded videos;Quizzes/tests;Chat with teacher;Notifications","3","Yes","Smooth playback (no buffering)","Yes","Smooth playback "
"2026/04/21 5:34:36 PM GMT+1","Student","Yes","Both","2","Always","Mobile data","Expensive","Yes","Learning Hut, WhatsApp, YouTube ","Advertisements, Slow network","Slow network ","A mix of all","Text notes","Yes","Live classes;Recorded videos;Quizzes/tests;Chat with teacher","5","Yes","Easy to use","Yes","Access to every detail needed for the study needed "
"2026/04/22 9:48:29 AM GMT+1","Student","Yes","Both","2","Sometimes","Mobile data","Manageable","Yes","Huawei","Poor internet connection ","Latency ","Video;Audio;Text;A mix of all","Audio only;Text notes","Maybe","Recorded videos;Quizzes/tests","3","No","Good video quality","No","A feedback hub"
"2026/04/23 1:22:57 PM GMT+1","Student","Yes","Both","3","Sometimes","Mobile data","Manageable","Yes","YouTube ","Nothing really ","Poor internet connection ","Video","Text notes","Yes","Download content for offline use;Recorded videos;Quizzes/tests;Chat with teacher;Notifications","5","Yes","Good video quality","Yes","Good video quality and smooth playback. "
"2026/04/23 1:56:20 PM GMT+1","Student","No","Both","2","Sometimes","Mobile data","Expensive","No","None","I haven’t used any","Network most times when I want to carry out research work ","A mix of all","Text notes","Maybe","Download content for offline use;Quizzes/tests;Chat with teacher","5","Yes","Low data usage","Yes","Data enough "
"2026/04/23 2:32:07 PM GMT+1","Student","Yes","Smartphone","2","Always","Mobile data","Manageable","Yes","Google ","Network failure","Outdated  information ","Video","Text notes","Yes","Download content for offline use;Live classes;Quizzes/tests;Chat with teacher","4","Yes","Smooth playback (no buffering)","No","When it can work with slow network connection"
"2026/04/23 2:48:29 PM GMT+1","Student","Yes","Smartphone","3","Sometimes","Mobile data","Manageable","Yes","KAWLO","Network problems ","Nothing ","A mix of all","Text notes","Yes","Download content for offline use","4","Yes","Easy to use","No","Good network"
"2026/04/23 2:53:26 PM GMT+1","Student","Yes","Smartphone","2","Sometimes","Mobile data","Expensive","No","Chat gpt","Interpretation ","Interpretertation","Video;Text","Text notes","Yes","Download content for offline use;Recorded videos;Quizzes/tests;Notifications","5","Yes","Low data usage","Yes","The network should be good "
"2026/04/23 3:01:53 PM GMT+1","Student","Yes","Laptop","5","Rarely","WiFi","Very Affordable","No","None","Network disruption ","Lack of accurate information ","A mix of all","Audio only;Text notes","Yes","Download content for offline use;Live classes;Quizzes/tests;Chat with teacher;Notifications","5","Yes","Easy to use","Yes","Accurate and on time response "
"2026/04/23 3:12:04 PM GMT+1","Student","Yes","Smartphone","1","Always","Mobile data","Expensive","Yes","Kawlo","Data ","Data","A mix of all","Text notes","Yes","Download content for offline use","5","Yes","Low data usage","Yes","If it can be used without data "
"2026/04/23 3:16:24 PM GMT+1","Student","Yes","Both","3","Sometimes","WiFi","Expensive","Yes","YouTube ","Network problems ","Network ","A mix of all","Text notes","Yes","Download content for offline use","4","Yes","Low data usage","No","An improvement in network "
"2026/04/23 3:54:34 PM GMT+1","Student","No","Smartphone","3","Sometimes","Mobile data","Very Affordable","Yes","Google","Network sometimes  slows the features","When the network automatically goes off and you have to restart","Video","Audio only","Yes","Live classes","3","Yes","Smooth playback (no buffering)","Yes","Making the internet not very high so that it adapts yo any device "
"2026/04/23 4:03:33 PM GMT+1","Student","Yes","Smartphone","3","Sometimes","Mobile data","Manageable","Yes","Preply","Buffering or low quality videos ","Unstable Internet connection ","A mix of all","Audio only;Text notes","Maybe","Download content for offline use;Live classes;Chat with teacher","4","Yes","Smooth playback (no buffering)","Yes","Great visual and audio"
"2026/04/23 6:04:29 PM GMT+1","Student","Yes","Smartphone","3","Sometimes","Mobile data","Manageable","Yes","minesec-distancelearning.cm","Buffering videos ","Buffering and low quality videos ","A mix of all","Lower quality video","Maybe","Download content for offline use;Quizzes/tests;Chat with teacher;Notifications","4","Yes","Smooth playback (no buffering)","Yes","No buffering videos, and saves mobile data as well as easy to use"
"2026/04/23 8:23:13 PM GMT+1","Student","Yes","Laptop","5","Rarely","WiFi","Very Affordable","Yes","YouTube ","Just to get the right videos ","Looking for the right videos ","Video;Text","Text notes","Maybe","Download content for offline use","5","No","Easy to use","Yes","Right videos🙂"
"2026/04/23 10:15:51 PM GMT+1","Student","Yes","Smartphone","3","Sometimes","Mobile data","Manageable","No","No","No","Poor connection ","Video;Text","Text notes","Yes","Download content for offline use;Live classes;Quizzes/tests;Notifications","5","Yes","Good video quality","Yes","I don't know for now "
"2026/04/24 2:49:22 AM GMT+1","Student","Yes","Smartphone","2","Sometimes","Mobile data","Manageable","No","ChatGpt","Network issues ","Missing out on a point ","A mix of all","Text notes","Yes","Chat with teacher","3","No","Easy to use","Yes","Good understanding of the lesson "
"2026/04/24 5:07:53 AM GMT+1","Student","Yes","Smartphone","1","Sometimes","Mobile data","Manageable","No","No platform ","I have not use one before ","Poor internet connection ","A mix of all","Lower quality video","Maybe","Download content for offline use;Recorded videos;Quizzes/tests;Notifications","5","Yes","Low data usage","Yes","Easy to use and less Data consumption "
"2026/04/24 5:34:40 AM GMT+1","Student","Yes","Both","3","Always","Mobile data","Expensive","No","Duolingo","Connection problems ","Technical issues and disruptions","A mix of all","Text notes","Yes","Download content for offline use;Quizzes/tests;Notifications","4","Yes","Low data usage","Yes","Features focusing on adaptive learning "
"2026/04/24 5:46:29 AM GMT+1","Student","Yes","Smartphone","3","Sometimes","Mobile data","Manageable","No","Never used","Never used it before ","Never used it before","Video;A mix of all","Lower quality video;Audio only","No","Download content for offline use;Live classes;Quizzes/tests;Chat with teacher;Notifications","4","Yes","Smooth playback (no buffering)","Yes","When the learning things are sumarised "
"2026/04/24 6:47:27 AM GMT+1","Student","No","Both","2","Always","Mobile data","Manageable","No","None","None","Nothing ","Video","Text notes","Maybe","Chat with teacher","3","No","Good video quality","Yes","Good internet connection "
"2026/04/24 8:30:46 AM GMT+1","Student","Yes","Both","3","Sometimes","Mobile data","Expensive","No","Youtube","Inefficient ","It’s slow","A mix of all","Text notes","No","Download content for offline use","3","Yes","Smooth playback (no buffering)","Yes","Better data connection "
"2026/04/24 9:22:34 AM GMT+1","Student","Yes","Both","1","Always","Mobile data","Expensive","Yes","Uba E-Learning","Poor Network ","Poor Network ","Video;Text","Lower quality video;Text notes","Yes","Download content for offline use;Live classes;Recorded videos;Quizzes/tests;Chat with teacher;Notifications","5","Yes","Smooth playback (no buffering)","Yes","Smooth playback "
"2026/04/24 9:24:14 AM GMT+1","Student","No","Smartphone","1","Always","Mobile data","Manageable","Yes","Google chrome ","Network breakdown, difficulty in navigating the system ","Network break down ","A mix of all","Text notes","Yes","Download content for offline use","5","Yes","Easy to use","Yes","If there's fast network and the system is easy to navigate "
"2026/04/24 9:28:12 AM GMT+1","Teacher","Yes","Laptop","3","Sometimes","WiFi","Manageable","Yes","Google meet ","None","Delay","Video","Lower quality video","Yes","Download content for offline use;Live classes;Recorded videos;Quizzes/tests","3","Yes","Good video quality","Yes","Less latency delays "
"2026/04/24 10:02:52 AM GMT+1","Student","Yes","Both","3","Sometimes","Mobile data","Manageable","Yes","Brainscape","Slow responses ","Slow internet connection ","A mix of all","Text notes","Yes","Download content for offline use;Recorded videos;Quizzes/tests;Notifications","4","Yes","Easy to use","Yes","Good internet "
"2026/04/24 10:08:00 AM GMT+1","Student","Yes","Both","3","Sometimes","Mobile data","Manageable","Yes","Brainscape ","Slow response ","Poor internet connection ","A mix of all","Text notes","Yes","Download content for offline use;Recorded videos;Quizzes/tests;Notifications","5","Yes","Easy to use","Yes","Better internet connection "
"2026/04/24 10:18:55 AM GMT+1","Student","Yes","Both","3","Always","Mobile data","Manageable","Yes","Telegram, Whatsapp ","Network issues ","When the network starts to break ","A mix of all","Text notes","Yes","Download content for offline use;Live classes;Recorded videos;Quizzes/tests;Chat with teacher","5","Yes","Low data usage","Yes","No buffering during learning "
"2026/04/24 10:48:16 AM GMT+1","Student","Yes","Both","3","Sometimes","Mobile data","Expensive","Yes","YouTube, Google classroom ","Slow internet speed","Slow internet speed,","Video;Audio;Text","Audio only;Text notes","Yes","Download content for offline use;Live classes;Recorded videos;Quizzes/tests;Chat with teacher","5","Yes","Smooth playback (no buffering)","Yes","Fast internet speed and low data consumption "
"2026/04/24 11:08:57 AM GMT+1","Student","Yes","Laptop","2","Always","WiFi","Manageable","Yes","W3 schools ","Compression ","Network ","A mix of all","Text notes","Yes","Download content for offline use","5","Yes","Smooth playback (no buffering)","Yes","Ability to download and use offline "
"2026/04/24 6:23:06 PM GMT+1","Student","No","Smartphone","4","Sometimes","Mobile data","Very Affordable","No","I haven't ","I've never used it before ","Poor network ","Video","Audio only","Yes","Chat with teacher","5","Yes","Easy to use","Yes","I don't know much about e-learning so I don't know for now "
"2026/04/24 6:44:19 PM GMT+1","Student","No","Laptop","3","Sometimes","WiFi","Expensive","No","W3Schools, Alison, Tinkercad","The videos that I am following experience buffer ","Loading time is long for one lesson","A mix of all","Text notes","Yes","Download content for offline use;Live classes;Recorded videos;Quizzes/tests;Notifications","4","Yes","Smooth playback (no buffering)","Yes","The data usage and the quality of videos it offers"
"2026/04/24 7:58:07 PM GMT+1","Student","Yes","Both","1","Always","Mobile data","Expensive","Yes","Allison","Data consumption","Bad internet","Audio","Text notes","Yes","Download content for offline use;Recorded videos;Chat with teacher","5","Yes","Low data usage","Yes","Low data usage, smooth play backs"
"2026/04/24 8:49:12 PM GMT+1","Student","Yes","Smartphone","2","Always","Mobile data","Expensive","Yes","W3school, freeCodeCamp, BroCode","Meeting up my quota of things to study and also poor network challenge","Long Sessions with limited time","Video","Audio only","Yes","Download content for offline use;Recorded videos;Quizzes/tests;Notifications","4","Yes","Low data usage","Yes","Short impactful sessions with medium grade and difficult exercises to do"
